lat,lon,weather_main,weather_description,temp,pressure,humidity,temp_min,temp_max,pressure_sea_level,pressure_grnd_level,wind_speed,wind_deg,cloudiness,rain_1h,rain_3h,snow_1h,snow_3h,country,sunrise,sunset,city_id,city_name,uv,date_iso,dt
18.8,98.96,Clouds,broken clouds,302.86,1010.0,70.0,302.59,303.15,-1.0,-1.0,1.5,10.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566540823
18.8,98.96,Clouds,broken clouds,303.37,1010.0,70.0,302.04,304.82,-1.0,-1.0,1.5,10.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566539623
18.8,98.96,Clouds,broken clouds,303.28,1009.0,66.0,302.59,304.15,-1.0,-1.0,1.5,190.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566543223
18.8,98.96,Clouds,broken clouds,302.86,1010.0,70.0,302.59,303.15,-1.0,-1.0,1.5,10.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566540823
18.8,98.96,Clouds,broken clouds,303.37,1010.0,70.0,302.04,304.82,-1.0,-1.0,1.5,10.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566539623
18.8,98.96,Clouds,broken clouds,303.29,1010.0,66.0,302.59,304.15,-1.0,-1.0,1.5,120.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566542023
18.8,98.96,Clouds,broken clouds,303.36,1011.0,70.0,302.04,304.82,-1.0,-1.0,1.5,80.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566539023
18.8,98.96,Clouds,broken clouds,303.32,1010.0,66.0,302.59,304.15,-1.0,-1.0,1.5,120.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566542623
14.37,100.59,Clouds,few clouds,300.69,1008.0,74.0,299.82,301.48,-1.0,-1.0,3.1,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566606336
14.37,100.59,Clouds,few clouds,300.41,1008.0,74.0,299.82,301.48,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566605136
