"weekday","hour","country","subcategory"
"Monday",14,"MY","Shopping"
"Monday",13,"MY","Food"
"Sunday",18,"MY","Shopping"
"Sunday",17,"MY","Shopping"
"Sunday",16,"MY","Food"
"Saturday",19,"MY","Food"
"Saturday",11,"MY","Shopping"
"Friday",22,"MY","Food"
"Friday",12,"MY","Shopping"
"Thursday",19,"MY","Shopping"
"Thursday",17,"MY","Food"
"Thursday",15,"MY","Coffee"
"Thursday",10,"MY","Coffee"
"Wednesday",17,"MY","Food"
"Tuesday",19,"MY","Shopping"
"Tuesday",14,"MY","Food"
"Sunday",14,"MY","Food"
"Sunday",0,"MY","Shopping"
"Friday",22,"MY","Shopping"
"Friday",21,"MY","Shopping"
"Friday",20,"MY","Shopping"
"Friday",18,"MY","Food"
"Thursday",16,"MY","Food"
"Wednesday",21,"MY","Shopping"
"Wednesday",21,"MY","Food"
"Wednesday",16,"MY","Drinks"
"Tuesday",20,"MY","Shopping"
"Tuesday",19,"MY","Food"
"Monday",21,"SG","Shopping"
"Monday",14,"SG","Food"
"Sunday",15,"SG","Shopping"
"Sunday",14,"SG","Library"
"Sunday",9,"SG","Food"
"Sunday",9,"SG","Shopping"
"Saturday",19,"SG","Shopping"
"Saturday",14,"SG","Food"
"Friday",21,"SG","Food"
"Thursday",18,"SG","Food"
"Thursday",10,"SG","Shopping"
"Thursday",8,"SG","Shopping"
"Thursday",8,"SG","Food"
"Friday",15,"AT","Shopping"
"Wednesday",14,"AT","Shopping"
"Saturday",17,"AT","Coffee"
"Tuesday",19,"AT","Shopping"
"Friday",18,"AT","Shopping"
"Wednesday",12,"DE","Food"
"Wednesday",7,"DE","Shopping"
"Tuesday",15,"DE","Shopping"
"Tuesday",14,"DE","Shopping"
"Tuesday",14,"DE","Food"
