"","ds","y"
"498",2019-07-14 04:15:00,0
"499",2019-07-14 04:30:00,0
"500",2019-07-14 04:45:00,0
"501",2019-07-14 05:00:00,0
"502",2019-07-14 05:15:00,7
"503",2019-07-14 05:30:00,0
"504",2019-07-14 05:45:00,0
"505",2019-07-14 06:00:00,0
"506",2019-07-14 06:15:00,0
"507",2019-07-14 06:30:00,0
"508",2019-07-14 06:45:00,0
"509",2019-07-14 07:00:00,9
"510",2019-07-14 07:15:00,0
"511",2019-07-14 07:30:00,0
"512",2019-07-14 07:45:00,0
"513",2019-07-14 08:00:00,0
"514",2019-07-14 08:15:00,0
"515",2019-07-14 08:30:00,0
"516",2019-07-14 08:45:00,22
"517",2019-07-14 09:00:00,0
"518",2019-07-14 09:15:00,0
"519",2019-07-14 09:30:00,0
"520",2019-07-14 09:45:00,0
"521",2019-07-14 10:00:00,8
"522",2019-07-14 10:15:00,0
"523",2019-07-14 10:30:00,0
"524",2019-07-14 10:45:00,0
"525",2019-07-14 11:00:00,0
"526",2019-07-14 11:15:00,0
"527",2019-07-14 11:30:00,0
"528",2019-07-14 11:45:00,0
"529",2019-07-14 12:00:00,34
"530",2019-07-14 12:15:00,0
"531",2019-07-14 12:30:00,0
"532",2019-07-14 12:45:00,0
"533",2019-07-14 13:00:00,0
"534",2019-07-14 13:15:00,0
"535",2019-07-14 13:30:00,430
"536",2019-07-14 13:45:00,0
"537",2019-07-14 14:00:00,7
"538",2019-07-14 14:15:00,0
"539",2019-07-14 14:30:00,42
"540",2019-07-14 14:45:00,320
"541",2019-07-14 15:00:00,108
"542",2019-07-14 15:15:00,136
"543",2019-07-14 15:30:00,21
"544",2019-07-14 15:45:00,0
"545",2019-07-14 16:00:00,18
"546",2019-07-14 16:15:00,192
"547",2019-07-14 16:30:00,20
"548",2019-07-14 16:45:00,0
"549",2019-07-14 17:00:00,0
"550",2019-07-14 17:15:00,0
"551",2019-07-14 17:30:00,9
"552",2019-07-14 17:45:00,16
"553",2019-07-14 18:00:00,0
"554",2019-07-14 18:15:00,7
"555",2019-07-14 18:30:00,14
"556",2019-07-14 18:45:00,108
"557",2019-07-14 19:00:00,16
"558",2019-07-14 19:15:00,65
"559",2019-07-14 19:30:00,156
"560",2019-07-14 19:45:00,1271
"561",2019-07-14 20:00:00,422
"562",2019-07-14 20:15:00,1308
"563",2019-07-14 20:30:00,127
"564",2019-07-14 20:45:00,162
"565",2019-07-14 21:00:00,9
"566",2019-07-14 21:15:00,13
"567",2019-07-14 21:30:00,8
"568",2019-07-14 21:45:00,25
"569",2019-07-14 22:00:00,62
"570",2019-07-14 22:15:00,118
"571",2019-07-14 22:30:00,162
"572",2019-07-14 22:45:00,7
"573",2019-07-14 23:00:00,23
"574",2019-07-14 23:15:00,30
"575",2019-07-14 23:30:00,0
"576",2019-07-14 23:45:00,0
"577",2019-07-15 00:00:00,0
"578",2019-07-15 00:15:00,0
"579",2019-07-15 00:30:00,0
"580",2019-07-15 00:45:00,0
"581",2019-07-15 01:00:00,98
"582",2019-07-15 01:15:00,12
"583",2019-07-15 01:30:00,0
"584",2019-07-15 01:45:00,0
"585",2019-07-15 02:00:00,0
"586",2019-07-15 02:15:00,0
